time_s,original_id,point_row,u_px,v_px,normal_u,normal_v,normal_residual_px
60.4,6,5,343.245363194903,259.885070278067,0.980997673974556,0.19401949298076,-0.211415572666374
60.5,6,5,343.322879905021,260.515261782864,0.984272778825679,-0.176655305221144,0.0177469639930452
60.7,6,5,343.719564072322,261.22621770334,0.984272778825679,-0.176655305221144,-0.413732044782026
60.8,6,5,343.989968598013,261.508640031813,0.984272778825679,-0.176655305221144,-0.543706293937334
60.9,6,5,344.245803266248,261.615291361188,0.984272778825679,-0.176655305221144,-0.655626271076462
61,6,5,344.879070119847,261.443239829441,0.984272778825679,-0.176655305221144,-0.345429046955225
61.1,6,5,345.211789318675,261.42942316932,0.984272778825679,-0.176655305221144,-0.357577378699138
61.3,6,5,345.846421501235,261.561196620339,0.997964342624307,-0.0637743745593351,-0.455945292979612
61.4,6,5,346.192949385114,261.4542798471,0.997964342624307,-0.0637743745593351,-0.447102081320541
61.5,6,5,346.445383203375,261.288890449047,0.997964342624307,-0.0637743745593351,-0.52677442251173
61.6,6,5,347.013016231305,261.320217643259,0.997964342624307,-0.0637743745593351,-0.302738383395688
61.7,6,5,347.286471806375,261.297341733436,0.997903282502633,-0.0647227840135885,-0.366652434912232
61.8,6,5,347.21298543425,261.307580239096,0.99788547409353,-0.064996773713248,-0.777418770773359
61.9,6,5,347.729063710689,261.480309820117,0.997477097728498,-0.0709890097630076,-0.606840110785687
62.2,6,5,349.007090342763,260.784267674558,0.997336103971534,-0.0729430991587348,-0.274070945977003
62.3,6,5,349.210095954754,260.295660651725,0.997336103971534,-0.0729430991587348,-0.363198924241633
62.4,6,5,349.332429830678,260.340353589622,0.997336103971534,-0.0729430991587348,-0.569701005659341
60.1,7,6,380.803686967424,271.805517792214,0.324683043801027,-0.945822880389399,0.465863395985765
60.2,7,6,381.109781710288,271.632093486926,0.266388187919888,-0.963865827455647,0.0575320864181451
60.3,7,6,381.903547921751,271.459697077478,0.247367828958027,-0.968921646572411,-0.00698997982952471
60.4,7,6,382.972374105157,271.502675003477,0.221854506065868,-0.975079780396594,-0.177711854919231
60.5,7,6,384.402608315087,271.639333726864,0.354819961029843,-0.934934647584943,-0.32306429616914
60.6,7,6,385.905024054615,271.728518188906,0.319559782187905,-0.947566116747543,-0.447190321144854
60.7,7,6,387.724673661826,271.714197347547,0.271828348534219,-0.962345753320063,-0.352489988982865
60.8,7,6,389.713591790944,271.816490675189,0.234346198498726,-0.97215320770401,-0.331018475035949
60.9,7,6,391.91969618832,271.808808460121,0.234346198498726,-0.97215320770401,-0.165086297564988
61,7,6,393.797645346786,271.848638180779,0.234346198498726,-0.97215320770401,-0.122146556122564
61.1,7,6,395.424609205527,271.988388620533,0.2932380886955,-0.956039446538798,-0.227687210326788
61.2,7,6,395.902123388701,271.929321468006,0.234346198498726,-0.97215320770401,-0.423643919132752
61.3,7,6,397.761903180781,271.940361133772,0.167688237246308,-0.985840075818196,-0.281305305669684
61.4,7,6,399.723665391255,271.885698723894,0.167688237246308,-0.985840075818196,-0.138575630573566
61.5,7,6,401.503854182398,271.874581370357,0.167688237246308,-0.985840075818196,-0.0697274088364626
61.6,7,6,403.452225823358,271.907311618467,0.168529064493819,-0.985696684797528,-0.0169108227869347
61.7,7,6,405.68413746301,272.067588811101,0.170024736192786,-0.985439794752867,-0.0418335272183455
61.8,7,6,407.633192955192,272.118083141326,0.170235482988361,-0.985403409945246,-0.00594708164583362
61.9,7,6,410.121461832777,272.072604220631,0.163049848586164,-0.986617832230915,0.209215012987773
62,7,6,412.232023227306,272.182287896111,0.153727321301464,-0.988113308626838,0.197215063713673
62.1,7,6,413.876931301559,272.149219493424,0.117710020500913,-0.993048010457538,0.212010823635426
62.2,7,6,415.620362615958,272.136838706447,0.0839080007272291,-0.996473505625694,0.216100212028607
62.3,7,6,417.620904904839,272.148057361043,-0.000347279018085517,-0.99999993969864,0.101373197763789
62.4,7,6,419.974690829471,272.032468778134,0.0377288947032377,-0.999288011788629,0.343558373458859
60.1,9,7,351.116006279161,242.131152065384,0.999705664163133,0.0242607716313767,0.490504274812247
60.2,9,7,351.864559245464,242.053868668098,0.99992878376316,0.0119342952003002,0.901321881532903
60.3,9,7,352.269094543077,242.05530645365,0.999866813939047,0.0163203671337156,0.762577046719737
